id	English	Japanese	French	German	Spanish	Korean	Chinese
couplehint.default.hint1	<u>{husband-name}</u> and <u>{wife-name}</u> are in love	<u>{husband-name}</u> と <u>{wife-name}</u> は愛し合っています	<u>{husband-name}</u> et <u>{wife-name}</u> sont amoureux	<u>{husband-name}</u> und <u>{wife-name}</u> sind verliebt.	<u>{husband-name}</u> y <u>{wife-name}</u> están enamorados	<u>{husband-name}</u>(은)는 <u>{wife-name}</u>(와)과 사랑하는 사이입니다	<u>{husband-name}</u> 跟 <u>{wife-name}</u> 正在談戀愛
couplehint.default.hint2	<u>{husband-name}</u> and <u>{wife-name}</u> have been dating for a long time	<u>{husband-name}</u> と <u>{wife-name}</u> は長く付き合っています	<u>{husband-name}</u> et <u>{wife-name}</u> se fréquentent depuis longtemps	<u>{husband-name}</u> und <u>{wife-name}</u> gehen seit längerem miteinander aus.	<u>{husband-name}</u> y <u>{wife-name}</u> llevan saliendo juntos mucho tiempo	<u>{husband-name}</u>(은)는 <u>{wife-name}</u>(와)과 오랜 연인 사이입니다	<u>{husband-name}</u> 跟 <u>{wife-name}</u> 已經交往很久了
couplehint.default.hint3	<u>{husband-name}</u> just proposed to <u>{wife-name}</u>	<u>{husband-name}</u> がまさに <u>{wife-name}</u> にプロポーズしました	<u>{husband-name}</u> vient de faire sa demande en mariage à <u>{wife-name}</u>	<u>{husband-name}</u> hat <u>{wife-name}</u> gerade einen Heiratsantrag gemacht.	<u>{husband-name}</u> acaba de pedir matrimonio a <u>{wife-name}</u>	<u>{husband-name}</u>(이)가 방금 <u>{wife-name}</u>에게 청혼했습니다	<u>{husband-name}</u> 剛剛才向 <u>{wife-name}</u> 求婚
couplehint.default.hint4	<u>{husband-name}</u> is <u>{wife-name}</u>'s boyfriend	<u>{husband-name}</u> は <u>{wife-name}</u> のボーイフレンドです	<u>{husband-name}</u> est le petit ami de <u>{wife-name}</u>	<u>{husband-name}</u> ist <u>{wife-name}</u>s Freund.	<u>{husband-name}</u> es el novio de <u>{wife-name}</u>	<u>{husband-name}</u>(은)는 <u>{wife-name}</u>의 남자친구입니다	<u>{husband-name}</u> 是 <u>{wife-name}</u> 的男朋友
couplehint.default.hint5	<u>{wife-name}</u> is <u>{husband-name}</u>'s girlfriend	<u>{wife-name}</u> は <u>{husband-name}</u> のガールフレンドです	<u>{wife-name}</u> est la petite amie de <u>{husband-name}</u>	<u>{wife-name}</u> ist <u>{husband-name}</u>s Freundin.	<u>{wife-name}</u> es la novia de <u>{husband-name}</u>	<u>{wife-name}</u>(은)는 <u>{husband-name}</u>의 여자친구입니다	<u>{wife-name}</u> 是 <u>{husband-name}</u> 的女朋友
couplehint.occupation.army1	<u>{2nd-name}</u>'s {2nd-relation} is in the army	<u>{2nd-name}</u>の {2nd-relation} は軍に入隊しています	Le ou la {2nd-relation} de <u>{2nd-name}</u> est dans l'armée	<u>{2nd-name}</u>s {2nd-relation} ist in der Armee.	La {2nd-relation} de <u>{2nd-name}</u> está en el ejército	<u>{2nd-name}</u>의 {2nd-relation}(은)는 군인입니다	<u>{2nd-name}</u> 的 {2nd-relation} 在軍中服役
couplehint.occupation.army2	<u>{2nd-name}</u>'s spouse is in the army	<u>{2nd-name}</u> の配偶者は軍に入隊しています	Le ou la conjoint(e) de <u>{2nd-name}</u> est dans l'armée	<u>{2nd-name}</u>s Ehemann/Ehefrau ist in der Armee.	El cónyuge de <u>{2nd-name}</u> está en el ejército	<u>{2nd-name}</u>의 배우자는 군인입니다	<u>{2nd-name}</u> 的配偶在軍中服役
couplehint.occupation.astronaut1	<u>{2nd-name}</u>'s {2nd-relation} works at NASA	<u>{2nd-name}</u>の {2nd-relation} は NASA で働いています	{2nd-relation} de <u>{2nd-name}</u> travaille à la NASA.	<u>{2nd-name}</u>s {2nd-relation} arbeitet bei der NASA.	La {2nd-relation} de <u>{2nd-name}</u> trabaja en la NASA	<u>{2nd-name}</u>의 {2nd-relation}(은)는 NASA에서 일합니다	<u>{2nd-name}</u> 的 {2nd-relation} 在 NASA 工作
couplehint.occupation.astronaut2	<u>{2nd-name}</u>'s spouse is an astronaut	<u>{2nd-name}</u> 配偶者は宇宙飛行士です	Le ou la conjoint(e) de <u>{2nd-name}</u> est astronaute	<u>{2nd-name}</u>s Ehemann/Ehefrau ist Astronaut/Astronautin.	El cónyuge de <u>{2nd-name}</u> es astronauta	<u>{2nd-name}</u>의 배우자는 우주 비행사입니다	<u>{2nd-name}</u> 的配偶是一名太空人
couplehint.occupation.chef1	<u>{2nd-name}</u>'s {2nd-relation} is a chef	<u>{2nd-name}</u> の {2nd-relation} はシェフです	Le ou la {2nd-relation} de <u>{2nd-name}</u> est chef(fe) cuisinier(e)	<u>{2nd-name}</u>s {2nd-relation} ist Koch/Köchin.	La {2nd-relation} de <u>{2nd-name}</u> es chef	<u>{2nd-name}</u>의 {2nd-relation}(은)는 요리사입니다	<u>{2nd-name}</u> 的 {2nd-relation} 是一名廚師
